1	2	M
9	2	M
13	2	A
17	2	A
19	2	A
25	2	A
25	2	A
25	3	M
25	2	M
25	2	M
25	2	M
30	2	A
31	2	A
31	3	M
34	2	A
35	2	A
35	2	A
38	2	A
46	4	M
49	2	M
53	2	A
53	4	M
55	2	A
57	3	M
58	2	A
58	3	M
71	2	A
71	2	A
71	3	M
72	2	A
82	3	M
88	2	M
89	4	M
89	2	M
92	2	A
93	4	M
94	2	A
98	4	M
99	3	M
101	2	A
105	2	M
106	2	A
106	2	A
109	2	A
109	3	M
115	3	M
116	2	A
116	3	M
117	2	A
124	2	M
127	3	M
128	2	A
130	2	M
132	2	M
133	2	A
137	3	M
139	2	A
142	4	M
147	4	M
149	2	A
149	3	M
153	2	A
154	2	M
155	2	A
156	2	A
156	2	M
157	2	A
170	2	A
170	2	A
173	2	M
184	3	M
184	3	M
185	2	M
187	4	M
192	2	A
197	3	M
202	3	M
204	3	M
205	3	M
206	2	A
209	2	A
209	4	M
209	2	M
214	3	M
218	2	M
221	4	M
221	2	M
221	2	M
224	2	A
228	2	A
228	3	M
228	3	M
228	2	M
230	2	A
230	2	M
236	3	M
236	4	M
237	2	A
240	2	A
240	3	M
241	2	A
245	3	M
249	2	M
255	3	M
258	3	M
258	2	M
259	3	M
263	2	A
271	2	M
274	2	M
277	2	A
283	2	M
284	2	M
285	3	M
288	2	A
289	2	A
291	2	A
291	4	M
291	2	M
294	2	A
297	3	M
297	4	M
297	2	M
298	2	A
298	4	M
299	2	M
306	4	M
307	3	M
309	2	A
314	3	M
320	3	M
321	2	A
321	2	M
322	3	M
324	2	A
326	2	A
327	2	A
328	3	M
330	2	M
333	2	A
335	3	M
336	2	A
336	2	A
336	3	M
336	4	M
336	2	M
336	2	M
337	2	M
343	3	M
347	2	M
350	2	M
352	3	M
359	4	M
361	2	A
361	2	M
362	2	M
363	4	M
365	3	M
366	3	M
367	2	M
370	4	M
372	2	A
372	2	A
372	2	A
372	2	A
373	2	A
376	2	M
377	3	M
379	4	M
383	2	A
393	4	M
395	2	A
396	2	A
396	3	M
400	2	A
400	2	M
416	3	M
418	2	M
420	2	A
420	2	A
420	3	M
421	3	M
427	2	A
430	2	A
431	2	A
435	2	M
435	2	M
436	2	A
438	2	A
444	2	A
444	2	A
446	2	A
446	3	M
451	2	A
458	2	A
458	4	M
458	2	M
459	4	M
461	2	A
461	2	A
461	3	M
464	2	A
464	3	M
472	2	A
473	2	A
478	3	M
478	4	M
479	2	A
479	3	M
479	4	M
480	2	A
480	2	A
480	4	M
487	2	A
487	3	M
487	3	M
493	2	A
493	4	M
497	4	M
500	4	M
501	2	A
501	3	M
503	3	M
503	4	M
509	2	M
510	2	M
513	2	A
517	2	A
517	2	A
517	3	M
526	3	M
527	4	M
528	2	A
531	2	A
531	3	M
533	4	M
534	2	A
534	4	M
535	2	A
535	2	A
535	2	A
535	3	M
542	2	A
546	2	A
546	3	M
559	3	M
559	4	M
560	2	A
560	2	A
562	2	A
569	2	M
570	4	M
570	2	M
576	2	A
577	2	A
585	2	A
592	2	A
594	2	M
596	3	M
596	2	M
601	2	A
601	2	A
604	2	A
608	4	M
612	3	M
615	4	M
616	3	M
617	2	A
617	4	M
617	2	M
619	3	M
620	2	A
622	2	A
622	3	M
625	2	A
630	2	A
635	2	M
637	3	M
639	2	A
641	2	A
641	3	M
642	2	A
643	2	A
643	2	A
643	2	M
646	2	A
648	4	M
652	3	M
654	2	A
659	2	M
666	2	M
673	4	M
673	2	M
676	3	M
680	2	M
681	2	M
683	2	A
685	2	A
686	2	M
687	2	A
694	4	M
695	4	M
697	2	A
699	3	M
699	4	M
701	2	A
706	2	M
709	4	M
714	2	A
719	2	M
720	2	A
730	2	A
730	4	M
731	2	A
735	2	A
